Mg,PPi,ATP,Spr,DTT,crystal
4,0.3,4,2,5,0
4,0.4,4,2,5,1
4,0.5,4,2,5,1
4,0.7,4,2,5,1
4,0.9,4,2,5,1
4,2,4,2,5,1
4,5,4,2,5,1
4,10,4,2,5,1
4,20,4,2,5,0
4,50,4,2,5,0
8,0.3,4,2,5,1
8,0.4,4,2,5,1
8,0.5,4,2,5,1
8,0.7,4,2,5,1
8,0.9,4,2,5,1
8,2,4,2,5,1
8,5,4,2,5,1
8,10,4,2,5,1
8,20,4,2,5,1
8,50,4,2,5,0
16,0.3,4,2,5,1
16,0.4,4,2,5,1
16,0.5,4,2,5,1
16,0.7,4,2,5,1
16,0.9,4,2,5,1
16,2,4,2,5,1
16,5,4,2,5,1
16,10,4,2,5,1
16,20,4,2,5,1
16,50,4,2,5,1
32,0.3,4,2,5,1
32,0.4,4,2,5,1
32,0.5,4,2,5,1
32,0.7,4,2,5,1
32,0.9,4,2,5,1
32,2,4,2,5,1
32,5,4,2,5,1
32,10,4,2,5,1
32,20,4,2,5,1
32,50,4,2,5,1
50,0.3,4,2,5,1
50,0.4,4,2,5,1
50,0.5,4,2,5,1
50,0.7,4,2,5,1
50,0.9,4,2,5,1
50,2,4,2,5,1
50,5,4,2,5,1
50,10,4,2,5,1
50,20,4,2,5,1
50,50,4,2,5,1
64,0.3,4,2,5,1
64,0.4,4,2,5,1
64,0.5,4,2,5,1
64,0.7,4,2,5,1
64,0.9,4,2,5,1
64,2,4,2,5,1
64,5,4,2,5,1
64,10,4,2,5,1
64,20,4,2,5,1
64,50,4,2,5,1
100,0.3,4,2,5,1
100,0.4,4,2,5,1
100,0.5,4,2,5,1
100,0.7,4,2,5,1
100,0.9,4,2,5,1
100,2,4,2,5,1
100,5,4,2,5,1
100,10,4,2,5,1
100,20,4,2,5,1
100,50,4,2,5,1
128,0.3,4,2,5,1
128,0.4,4,2,5,1
128,0.5,4,2,5,1
128,0.7,4,2,5,1
128,0.9,4,2,5,1
128,2,4,2,5,1
128,5,4,2,5,1
128,10,4,2,5,1
128,20,4,2,5,1
128,50,4,2,5,1
4,0.2,20,2,5,0
4,0.3,20,2,5,0
4,0.4,20,2,5,0
4,0.5,20,2,5,0
4,0.7,20,2,5,0
4,0.9,20,2,5,0
4,2,20,2,5,0
4,5,20,2,5,0
4,10,20,2,5,0
4,20,20,2,5,0
4,50,20,2,5,0
4,100,20,2,5,0
8,0.2,20,2,5,0
8,0.3,20,2,5,0
8,0.4,20,2,5,0
8,0.5,20,2,5,0
8,0.7,20,2,5,1
8,0.9,20,2,5,1
8,2,20,2,5,1
8,5,20,2,5,1
8,10,20,2,5,1
8,20,20,2,5,1
8,50,20,2,5,0
8,100,20,2,5,0
16,0.2,20,2,5,1
16,0.3,20,2,5,1
16,0.4,20,2,5,1
16,0.5,20,2,5,1
16,0.7,20,2,5,1
16,0.9,20,2,5,1
16,2,20,2,5,1
16,5,20,2,5,1
16,10,20,2,5,1
16,20,20,2,5,1
16,50,20,2,5,1
16,100,20,2,5,0
32,0.2,20,2,5,1
32,0.3,20,2,5,1
32,0.4,20,2,5,1
32,0.5,20,2,5,1
32,0.7,20,2,5,1
32,0.9,20,2,5,1
32,2,20,2,5,1
32,5,20,2,5,1
32,10,20,2,5,1
32,20,20,2,5,1
32,50,20,2,5,1
32,100,20,2,5,1
50,0.2,20,2,5,1
50,0.3,20,2,5,1
50,0.4,20,2,5,1
50,0.5,20,2,5,1
50,0.7,20,2,5,1
50,0.9,20,2,5,1
50,2,20,2,5,1
50,5,20,2,5,1
50,10,20,2,5,1
50,20,20,2,5,1
50,50,20,2,5,1
50,100,20,2,5,1
64,0.2,20,2,5,1
64,0.3,20,2,5,1
64,0.4,20,2,5,1
64,0.5,20,2,5,1
64,0.7,20,2,5,1
64,0.9,20,2,5,1
64,2,20,2,5,1
64,5,20,2,5,1
64,10,20,2,5,1
64,20,20,2,5,1
64,50,20,2,5,1
64,100,20,2,5,1
100,0.2,20,2,5,1
100,0.3,20,2,5,1
100,0.4,20,2,5,1
100,0.5,20,2,5,1
100,0.7,20,2,5,1
100,0.9,20,2,5,1
100,2,20,2,5,1
100,5,20,2,5,1
100,10,20,2,5,1
100,20,20,2,5,1
100,50,20,2,5,1
100,90.4,20,2,5,1
128,0.2,20,2,5,1
128,0.3,20,2,5,1
128,0.4,20,2,5,1
128,0.5,20,2,5,1
128,0.7,20,2,5,1
128,0.9,20,2,5,1
128,2,20,2,5,1
128,5,20,2,5,1
128,10,20,2,5,1
128,20,20,2,5,1
128,50,20,2,5,1
128,77.8,20,2,5,1
