Mg_initial (mM),PPi_initial (mM),Mg_undiluted (mM),PPi_undiluted (mM)
4,0.5,2.93,0.04
4,0.5,2.99,0.05
4,1,1.88,0.04
4,1,1.89,0.04
4,1.5,0.91,0.06
4,1.5,0.89,0.07
4,1.75,0.5,0.12
4,1.75,0.49,0.11
4,2,0.26,0.26
4,2,0.33,0.31
4,2.25,0.43,0.62
4,2.25,0.44,0.62
4,2.5,0.56,0.96
4,2.5,0.59,0.97
4,3,0.82,1.51
4,3,0.82,1.57
4,4,1.38,2.79
4,4,1.44,2.81
4,8,0.67,1.52
4,8,0.64,1.42
8,4,0.27,0.2
8,4,0.28,0.2
16,4,7.55,0.09
16,4,7.58,0.09
32,4,23.85,0.13
32,4,24,0.13
64,4,56.96,0.18
64,4,57.82,0.18
4,2.125,0.57,0.58
4,2.125,0.55,0.55
10,16,2.54,12.27
10,16,2.32,12.41
8,15,2.48,12.21
8,15,2.51,12.64
20,32,3.82,23.58
20,32,3.91,23.7
10,27,4.88,23.66
10,27,4.95,24.11
16,56,13.57,50.38
16,56,13.89,50.91
32,64,12.53,50.22
32,64,12.36,50.06
32,80,17.4,67.93
32,80,19.26,74.16
32,96,25.19,86.24
32,96,27.24,87.08
